Sample,CB_per,MC_per,PA_per,TCB_per,Atmosphere_type,Mass,Pretreat_voltage,Voltage,PulseTime,Cap,Average_Graphene_Yield
15,0.5,0.5,0,0,vac,231,78,136,95,95.2,34.12698415
4,0,0,0.5,0.5,vac,233,90,139.4,154,113.2,38.3838384
20,0.5,0,0,0.5,vac,213,85.2,150.45,197,131.2,51.0822511
8,0.5,0.5,0,0,vac,222,90,150.45,168,95.2,22.7994228
12,0.5,0.5,0,0,arg,188,144,153,295,59.2,57.81565655
14,0.5,0.5,0,0,vac,219,61.2,156.4,179,113.2,34.74955745
13,0,0.5,0,0.5,vac,326,97.2,156.4,294,131.2,20.9469697
9,0,0.5,0.5,0,air,289,144,157.25,216,113.2,34.73869125
11,0.5,0,0.5,0,vac,246,112.2,161.5,163,149.2,45.45454545
10,0.5,0.5,0,0,air,240,144,165.75,318,131.2,63.3180545
5,0,0.5,0.5,0,vac,231,198,167.45,380,95.2,42.0959596
2,0.5,0,0.5,0,vac,162,111,175.95,259,113.2,77.5094697
7,0.5,0.5,0,0,air,242,165,176.8,77,131.2,56.06060605
16,0.5,0,0,0.5,vac,219,139.2,180.2,209,221.2,85.20923525
1,0.5,0,0.5,0,vac,218,156,180.2,616,221.2,82.1067821
6,0,0.5,0,0.5,vac,211,97.2,181.9,222,203.2,64.5743146
3,0,0.5,0,0.5,vac,311,132,185.3,439,203.2,49.76689975
18,0.5,0.5,0,0,vac,236,120.6,187,489,185.2,57.14285715
17,0.5,0.5,0,0,vac,191,126,192.95,538,167.2,65.8730159
19,0,0.5,0,0.5,vac,322,139.2,198.9,102,167.2,42.4242424
