Sample,CB_per,MC_per,PA_per,TCB_per,Atmosphere_type,Mass,Pretreat_voltage,Voltage,PulseTime,Cap,Average_Graphene_Yield
1,0.5,0.0,0.5,0.0,vac,218,260,212,616,123,82.1067821
2,0.5,0.0,0.5,0.0,vac,162,185,207,259,105,77.5094697
3,0.0,0.5,0.0,0.5,vac,311,220,218,439,123,49.76689975
4,0.0,0.0,0.5,0.5,vac,233,150,164,154,105,38.383838399999995
5,0.0,0.5,0.5,0.0,vac,231,330,197,380,96,42.0959596
6,0.0,0.5,0.0,0.5,vac,211,162,214,222,141,64.57431460000001
7,0.5,0.5,0.0,0.0,air,242,275,208,77,123,56.06060605
8,0.5,0.5,0.0,0.0,vac,222,150,177,168,96,22.799422799999995
9,0.0,0.5,0.5,0.0,air,289,240,185,216,105,34.738691249999995
10,0.5,0.5,0.0,0.0,air,240,240,195,318,123,63.318054499999995
11,0.5,0.0,0.5,0.0,vac,246,187,190,163,132,45.45454544999999
12,0.5,0.5,0.0,0.0,arg,188,240,180,295,105,57.81565654999999
13,0.0,0.5,0.0,0.5,vac,326,162,184,294,123,20.946969699999993
14,0.5,0.5,0.0,0.0,vac,219,102,184,179,114,34.749557450000005
15,0.5,0.5,0.0,0.0,air,231,130,160,95,96,34.12698415
16,0.5,0.0,0.0,0.5,vac,219,232,212,209,132,85.20923524999999
17,0.5,0.5,0.0,0.0,vac,191,210,227,538,114,65.87301590000001
18,0.5,0.5,0.0,0.0,vac,236,201,220,489,105,57.142857150000005
19,0.0,0.5,0.0,0.5,vac,322,232,234,102,132,42.4242424
20,0.5,0.0,0.0,0.5,vac,213,142,177,197,123,51.0822511
