Sample,CB_per,MC_per,PA_per,TCB_per,Atmosphere_type,Mass,Pretreat_voltage,Voltage,PulseTime,Cap
15,0.5,0.5,0.0,0.0,air,231,78.0,136.0,95,95.2
4,0.0,0.0,0.5,0.5,arg,233,90.0,139.4,154,113.2
20,0.5,0.0,0.0,0.5,arg,213,85.2,150.45,197,131.2
8,0.5,0.5,0.0,0.0,arg,222,90.0,150.45,168,95.2
12,0.5,0.5,0.0,0.0,arg,188,144.0,153.0,295,113.2
14,0.5,0.5,0.0,0.0,arg,219,61.2,156.4,179,113.2
13,0.0,0.5,0.0,0.5,arg,326,97.2,156.4,294,131.2
9,0.0,0.5,0.5,0.0,arg,289,144.0,157.25,216,113.2
11,0.5,0.0,0.5,0.0,arg,246,112.2,161.5,163,131.2
10,0.5,0.5,0.0,0.0,arg,240,144.0,165.75,318,131.2
5,0.0,0.5,0.5,0.0,arg,231,198.0,167.45,380,95.2
2,0.5,0.0,0.5,0.0,arg,162,111.0,175.95,259,113.2
7,0.5,0.5,0.0,0.0,arg,242,165.0,176.8,77,131.2
16,0.5,0.0,0.0,0.5,arg,219,139.2,180.2,209,131.2
1,0.5,0.0,0.5,0.0,arg,218,156.0,180.2,616,131.2
6,0.0,0.5,0.0,0.5,arg,211,97.2,181.9,222,149.2
3,0.0,0.5,0.0,0.5,arg,311,132.0,185.3,439,131.2
18,0.5,0.5,0.0,0.0,arg,236,120.6,187.0,489,113.2
17,0.5,0.5,0.0,0.0,arg,191,126.0,192.95,538,113.2
19,0.0,0.5,0.0,0.5,arg,322,139.2,198.9,102,131.2
