,R1_CB,R1_MC,R1_PA,cap,volt,mass,ptime,pre_volt,pre_peak,I_Max,charge_tot,I_Final,GYield,Yield,Material
0,1.0,0.0,0.0,96.0,235.0,200.0,1200.0,60.0,60.0,149.3641,16.0319454,9.50235872,85.7142857,38.5,CB
1,1.0,0.0,0.0,114.0,120.0,161.9,50.0,150.0,50.0,88.60687,2.109495686,87.80898819,1.0101010000000001,90.9203212,CB
2,1.0,0.0,0.0,96.0,235.0,200.0,300.0,240.0,60.0,88.60687,7.108608637,14.07435806,34.9206349,84.0,CB
3,1.0,0.0,0.0,96.0,235.0,200.0,900.0,320.0,80.0,102.7453,17.35807541,10.23175128,79.3650794,27.0,CB
4,1.0,0.0,0.0,96.0,145.0,187.0,125.0,60.0,60.0,70.26505,3.673380527,15.18901201,25.3968254,68.82352940000001,CB
5,1.0,0.0,0.0,96.0,235.0,200.0,200.0,320.0,80.0,141.3396,11.31866211,28.20523385,87.30158730000001,67.5,CB
6,1.0,0.0,0.0,114.0,220.0,178.0,750.0,80.0,80.0,89.75323,4.496728924,10.60145335,42.8571429,65.89887639999999,CB
7,1.0,0.0,0.0,184.0,245.0,300.0,1000.0,120.0,120.0,135.6078,20.22390614,10.56652748,58.730158700000004,59.3333333,CB
8,1.0,0.0,0.0,184.0,220.0,300.0,500.0,360.0,120.0,192.5438,13.72108063,12.90866273,96.8253968,66.33333329999999,CB
9,1.0,0.0,0.0,114.0,205.0,182.0,280.0,120.0,40.0,164.2668,13.28219972,65.21099084,60.3174603,27.472527499999998,CB
10,1.0,0.0,0.0,202.0,240.0,300.0,300.0,360.0,120.0,486.7771,33.7071411,15.54189975,93.65079370000001,10.6666667,CB
11,1.0,0.0,0.0,202.0,200.0,300.0,500.0,300.0,140.0,290.3668,15.24501647,16.68141978,96.8253968,72.0,CB
12,1.0,0.0,0.0,60.0,140.0,118.0,325.0,0.0,0.0,97.77777,4.620607931,8.258707695,71.4285714,87.7966102,CB
13,1.0,0.0,0.0,60.0,200.0,130.0,265.0,0.0,0.0,175.3484,1.134085689,173.3462915,7.0707071,27.3846154,CB
14,1.0,0.0,0.0,150.0,200.0,189.0,40.0,180.0,60.0,165.0311,2.25417874,164.3119616,92.0634921,92.0634921,CB
15,1.0,0.0,0.0,114.0,215.0,200.0,150.0,240.0,110.0,206.6823,10.91613422,41.94070183,93.65079370000001,46.0,CB
16,1.0,0.0,0.0,60.0,215.0,182.0,600.0,400.0,160.0,366.791,17.3089423,8.720309883,53.968254,70.4395604,CB
17,1.0,0.0,0.0,114.0,240.0,230.0,250.0,240.0,110.0,184.1371,9.007646821,13.31458887,96.8253968,91.73913040000001,CB
18,1.0,0.0,0.0,114.0,270.0,260.0,350.0,240.0,110.0,170.3808,12.68966011,20.54393707,90.4761905,68.84615389999999,CB
19,1.0,0.0,0.0,96.0,240.0,200.0,200.0,170.0,120.0,234.195,11.74364068,51.90132931,90.4761905,44.0,CB
20,1.0,0.0,0.0,96.0,240.0,200.0,700.0,170.0,120.0,238.7805,20.16633001,9.471024791,96.8253968,68.5,CB
21,1.0,0.0,0.0,96.0,240.0,200.0,1200.0,170.0,120.0,212.032,17.96107798,8.310217623,80.952381,59.5,CB
22,1.0,0.0,0.0,78.0,230.0,150.0,75.0,290.0,110.0,304.8874,8.091221634,70.19607199,95.23809519999999,76.0,CB
23,1.0,0.0,0.0,78.0,230.0,150.0,125.0,290.0,110.0,401.9462,15.19362876,49.59626679,90.4761905,64.0,CB
24,1.0,0.0,0.0,78.0,230.0,150.0,250.0,290.0,110.0,339.2783,18.98412792,9.839733349,92.0634921,72.66666670000001,CB
25,1.0,0.0,0.0,96.0,230.0,200.0,400.0,340.0,130.0,356.4738,19.02230073,11.32939484,88.8888889,86.0,CB
26,1.0,0.0,0.0,96.0,230.0,223.3,610.0,0.0,0.0,161.2099,9.56580996,7.875669604,84.8484848,81.68383340000001,CB
